,user_id,gender,postal_code,temperature,temp_max,temp_min,avg_temp,city
157,452,female,55721,64.45,64.45,63.14,63.795,Cohasset
158,454,female,83704,70.92,72.19,66.87,69.53,Boise
159,456,female,45203,67.82,72.09,63.0,67.545,Cincinnati
160,458,female,83704,70.92,72.19,66.87,69.53,Boise
161,459,female,83704,70.92,72.19,66.87,69.53,Boise
162,460,female,63640,67.26,68.13,61.7,64.91499999999999,Farmington
163,464,female,61822,68.14,70.0,61.66,65.83,Champaign
164,472,female,55721,64.45,64.45,63.14,63.795,Cohasset
165,474,female,63640,67.26,68.13,61.7,64.91499999999999,Farmington
166,476,female,91789,73.2,77.59,68.31,72.95,Walnut
167,477,female,77502,80.96,83.14,78.03,80.58500000000001,Pasadena
168,481,female,98002,65.61,68.99,60.58,64.785,Auburn
169,482,female,98002,65.61,68.99,60.58,64.785,Auburn
170,483,female,77502,80.96,83.14,78.03,80.58500000000001,Pasadena
171,484,female,92582,73.15,80.82,64.69,72.755,San Jacinto
172,486,female,79605,79.45,80.74,78.82,79.78,Abilene
173,489,female,92582,73.15,80.82,64.69,72.755,San Jacinto
174,492,female,79605,79.45,80.74,78.82,79.78,Abilene
175,496,female,43081,63.59,67.57,59.45,63.51,Westerville
176,501,female,29229,66.74,69.06,63.64,66.35,Columbia
177,502,female,79605,79.45,80.74,78.82,79.78,Abilene
178,504,female,28677,64.27,68.52,60.69,64.60499999999999,Statesville
179,508,female,11210,65.91,69.73,55.6,62.665000000000006,Brooklyn
180,509,female,77502,80.96,83.14,78.03,80.58500000000001,Pasadena
181,512,female,79605,79.45,80.74,78.82,79.78,Abilene
182,521,female,98036,61.47,66.51,57.24,61.875,Lynnwood
183,522,female,49508,63.36,65.95,60.24,63.095,Grand Rapids
184,525,female,95076,66.78,69.73,61.92,65.825,Watsonville
185,527,female,29229,66.74,69.06,63.64,66.35,Columbia
186,530,female,29229,66.74,69.06,63.64,66.35,Columbia
187,532,female,55721,64.45,64.45,63.14,63.795,Cohasset
188,536,female,21613,62.73,69.19,56.07,62.629999999999995,Cambridge
189,539,female,61102,65.8,68.32,62.22,65.27,Rockford
190,541,female,61102,65.8,68.32,62.22,65.27,Rockford
191,544,female,61102,65.8,68.32,62.22,65.27,Rockford
192,547,female,91709,72.82,77.85,66.15,72.0,Chino Hills
193,550,female,53534,67.62,71.47,60.91,66.19,Edgerton
194,554,female,61102,65.8,68.32,62.22,65.27,Rockford
195,560,female,61102,65.8,68.32,62.22,65.27,Rockford
196,561,female,31316,69.53,73.06,68.05,70.555,Ludowici
197,562,female,95111,66.0,69.26,60.37,64.815,San Jose
198,564,female,17257,56.03,61.05,52.36,56.705,Shippensburg
199,568,female,57719,66.13,68.4,63.39,65.89500000000001,Box Elder
201,573,female,57719,66.13,68.4,63.39,65.89500000000001,Box Elder
202,575,female,75024,76.57,79.77,72.23,76.0,Plano
203,578,female,91789,73.2,77.59,68.31,72.95,Walnut
204,579,female,92887,72.41,77.67,66.72,72.195,Yorba Linda
207,584,female,19720,57.72,62.82,53.94,58.379999999999995,New Castle
208,586,female,29506,67.77,71.65,64.38,68.015,Florence
209,599,female,19720,57.72,62.82,53.94,58.379999999999995,New Castle
210,601,female,45723,64.29,64.49,62.89,63.69,Coolville
211,602,female,60634,71.28,74.84,64.35,69.595,Chicago
212,606,female,98002,65.61,68.99,60.58,64.785,Auburn
213,609,female,21613,62.73,69.19,56.07,62.629999999999995,Cambridge
215,614,female,75211,76.93,80.78,72.55,76.66499999999999,Dallas
216,616,female,91789,73.2,77.59,68.31,72.95,Walnut
217,619,female,98002,65.61,68.99,60.58,64.785,Auburn
218,621,female,96819,80.89,82.08,79.68,80.88,Honolulu
219,622,female,61102,65.8,68.32,62.22,65.27,Rockford
220,623,female,60634,71.28,74.84,64.35,69.595,Chicago
221,627,female,91789,73.2,77.59,68.31,72.95,Walnut
223,629,female,96819,80.89,82.08,79.68,80.88,Honolulu
224,631,female,19720,57.72,62.82,53.94,58.379999999999995,New Castle
225,635,female,96819,80.89,82.08,79.68,80.88,Honolulu
226,637,female,75211,76.93,80.78,72.55,76.66499999999999,Dallas
227,639,female,60634,71.28,74.84,64.35,69.595,Chicago
229,644,female,60634,71.28,74.84,64.35,69.595,Chicago
230,648,female,18634,50.68,55.26,48.6,51.93,Nanticoke
232,655,female,75001,77.11,80.67,72.63,76.65,Addison
234,658,female,27545,67.87,71.1,63.84,67.47,Knightdale
235,669,female,75001,77.11,80.67,72.63,76.65,Addison
236,678,female,75001,77.11,80.67,72.63,76.65,Addison
237,680,female,75001,77.11,80.67,72.63,76.65,Addison
238,681,female,19720,57.72,62.82,53.94,58.379999999999995,New Castle
239,684,female,55721,64.45,64.45,63.14,63.795,Cohasset
240,688,female,43081,63.59,67.57,59.45,63.51,Westerville
241,693,female,31082,65.12,69.44,64.02,66.72999999999999,Sandersville
242,696,female,20165,61.9,67.24,56.48,61.86,Sterling
243,698,female,27545,67.87,71.1,63.84,67.47,Knightdale
244,700,female,27545,67.87,71.1,63.84,67.47,Knightdale
245,702,female,57719,66.13,68.4,63.39,65.89500000000001,Box Elder
246,703,female,27560,67.19,70.93,62.96,66.94500000000001,Morrisville
247,705,female,13060,47.93,51.15,44.24,47.695,Elbridge
248,708,female,42101,67.8,70.16,63.97,67.065,Bowling Green
249,711,female,11412,65.77,69.66,55.24,62.45,Saint Albans
250,725,female,44120,57.78,63.12,52.99,58.055,Cleveland
251,726,female,52806,70.74,73.94,65.59,69.765,Davenport
252,728,female,30101,67.44,70.86,62.74,66.8,Acworth
253,730,female,91789,73.2,77.59,68.31,72.95,Walnut
254,731,female,52806,70.74,73.94,65.59,69.765,Davenport
255,738,female,52806,70.74,73.94,65.59,69.765,Davenport
256,754,female,32256,77.27,80.49,72.0,76.245,Jacksonville
257,756,female,12035,50.94,54.21,47.35,50.78,Central Bridge
258,758,female,32256,77.27,80.49,72.0,76.245,Jacksonville
259,765,female,75225,77.16,80.91,73.02,76.965,Dallas
260,770,female,75211,76.93,80.78,72.55,76.66499999999999,Dallas
261,774,female,62565,68.99,69.78,63.99,66.885,Shelbyville
262,775,female,29669,64.76,69.21,61.36,65.285,Pelzer
263,778,female,28092,64.78,69.06,60.93,64.995,Lincolnton
264,780,female,32256,77.27,80.49,72.0,76.245,Jacksonville
266,782,female,32256,77.27,80.49,72.0,76.245,Jacksonville
267,784,female,32256,77.27,80.49,72.0,76.245,Jacksonville
268,788,female,77301,78.87,81.79,76.01,78.9,Conroe
269,791,female,62441,66.04,71.11,59.14,65.125,Marshall
270,792,female,32256,77.27,80.49,72.0,76.245,Jacksonville
271,794,female,32256,77.27,80.49,72.0,76.245,Jacksonville
273,810,female,85648,71.85,78.93,69.87,74.4,Rio Rico
274,817,female,26003,58.96,60.26,56.03,58.144999999999996,Wheeling
275,818,female,50014,68.56,73.69,64.94,69.315,Ames
276,819,female,26003,58.96,60.26,56.03,58.144999999999996,Wheeling
277,821,female,26003,58.96,60.26,56.03,58.144999999999996,Wheeling
278,823,female,91360,69.26,76.14,65.52,70.83,Thousand Oaks
279,824,female,10469,62.91,69.46,52.86,61.16,Bronx
280,825,female,91360,69.26,76.14,65.52,70.83,Thousand Oaks
283,835,female,36301,72.23,74.08,68.14,71.11,Dothan
284,840,female,36301,72.23,74.08,68.14,71.11,Dothan
288,858,female,26003,58.96,60.26,56.03,58.144999999999996,Wheeling
289,860,female,86406,87.58,88.09,85.96,87.025,Lake Havasu City
290,863,female,25839,60.3,64.49,57.6,61.045,Fairdale
291,864,female,32431,71.78,74.44,69.49,71.965,Cottondale
293,876,female,43610,62.56,65.07,59.02,62.045,Toledo
294,878,female,50014,68.56,73.69,64.94,69.315,Ames
295,879,female,29073,66.63,69.49,64.08,66.785,Lexington
296,880,female,34748,74.19,76.05,72.99,74.52,Leesburg
297,884,female,29170,67.08,69.53,64.11,66.82,West Columbia
298,888,female,21224,61.9,67.14,55.62,61.379999999999995,Baltimore
299,889,female,29073,66.63,69.49,64.08,66.785,Lexington
300,890,female,50014,68.56,73.69,64.94,69.315,Ames
301,892,female,50014,68.56,73.69,64.94,69.315,Ames
302,894,female,50014,68.56,73.69,64.94,69.315,Ames
303,895,female,50014,68.56,73.69,64.94,69.315,Ames
304,906,female,50014,68.56,73.69,64.94,69.315,Ames
305,910,female,78660,82.15,84.22,79.03,81.625,Pflugerville
306,911,female,37664,64.92,67.23,60.33,63.78,Kingsport
307,912,female,37664,64.92,67.23,60.33,63.78,Kingsport
308,913,female,29170,67.08,69.53,64.11,66.82,West Columbia
309,916,female,50014,68.56,73.69,64.94,69.315,Ames
310,917,female,37664,64.92,67.23,60.33,63.78,Kingsport
311,918,female,34653,75.76,79.09,72.19,75.64,New Port Richey
312,920,female,27214,64.69,67.1,61.29,64.195,Browns Summit
313,924,female,27214,64.69,67.1,61.29,64.195,Browns Summit
314,928,female,81050,64.08,67.46,64.08,65.77,La Junta
315,933,female,30324,68.13,72.14,61.65,66.895,Atlanta
316,935,female,30324,68.13,72.14,61.65,66.895,Atlanta
317,937,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
318,938,female,59860,63.34,65.34,60.78,63.06,Polson
319,939,female,48206,62.83,65.82,58.91,62.364999999999995,Detroit
320,942,female,78227,81.93,84.34,78.66,81.5,San Antonio
322,946,female,33024,77.49,80.62,73.4,77.01,Hollywood
324,950,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
326,956,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
329,968,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
331,973,female,83864,61.52,64.31,59.0,61.655,Sandpoint
332,978,female,83864,61.52,64.31,59.0,61.655,Sandpoint
333,981,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
334,982,female,28734,61.02,64.44,57.49,60.965,Franklin
335,985,female,11201,65.03,69.62,54.75,62.185,Brooklyn
336,988,female,92505,74.08,78.84,66.83,72.83500000000001,Riverside
337,997,female,77037,81.07,82.38,77.86,80.12,Houston
339,1003,female,48141,62.64,65.91,58.64,62.275,Inkster
340,1004,female,77037,81.07,82.38,77.86,80.12,Houston
341,1006,female,92064,68.58,72.88,65.08,68.97999999999999,Poway
342,1009,female,20903,62.08,67.48,57.24,62.36,Silver Spring
343,1010,female,60473,69.39,77.04,64.22,70.63,South Holland
344,1014,female,19601,56.32,60.82,51.75,56.285,Reading
345,1016,female,14305,54.05,59.54,48.94,54.239999999999995,Niagara Falls
346,1021,female,36301,72.23,74.08,68.14,71.11,Dothan
347,1022,female,19601,56.32,60.82,51.75,56.285,Reading
348,1025,female,20903,62.08,67.48,57.24,62.36,Silver Spring
349,1033,female,92109,69.94,73.47,67.24,70.35499999999999,San Diego
350,1035,female,53094,67.32,70.05,63.9,66.975,Watertown
351,1041,female,40047,66.04,70.29,61.39,65.84,Mount Washington
352,1044,female,19601,56.32,60.82,51.75,56.285,Reading
353,1050,female,44820,63.25,65.44,61.32,63.379999999999995,Bucyrus
355,1054,female,44820,63.25,65.44,61.32,63.379999999999995,Bucyrus
358,1062,female,88101,73.54,75.34,70.95,73.14500000000001,Clovis
359,1064,female,60634,71.28,74.84,64.35,69.595,Chicago
360,1067,female,77586,80.65,82.53,78.12,80.325,Seabrook
361,1068,female,14701,53.73,54.91,49.82,52.364999999999995,Jamestown
362,1069,female,92394,70.36,74.21,64.6,69.405,Victorville
363,1072,female,14701,53.73,54.91,49.82,52.364999999999995,Jamestown
364,1073,female,14701,53.73,54.91,49.82,52.364999999999995,Jamestown
365,1075,female,71438,70.92,73.33,67.62,70.475,Hineston
366,1076,female,14701,53.73,54.91,49.82,52.364999999999995,Jamestown
367,1079,female,27569,68.16,70.57,66.15,68.36,Princeton
368,1080,female,19145,60.19,65.23,53.44,59.335,Philadelphia
369,1081,female,70374,76.42,79.0,72.0,75.5,Lockport
370,1083,female,13636,49.66,51.69,46.4,49.045,Ellisburg
371,1084,female,29583,66.4,68.22,62.46,65.34,Pamplico
372,1087,female,70374,76.42,79.0,72.0,75.5,Lockport
373,1094,female,70374,76.42,79.0,72.0,75.5,Lockport
374,1098,female,70374,76.42,79.0,72.0,75.5,Lockport
375,1105,female,11356,64.78,69.71,53.42,61.565,College Point
376,1107,female,24201,62.11,65.52,59.9,62.709999999999994,Bristol
377,1108,female,33313,78.01,80.01,75.06,77.535,Fort Lauderdale
378,1110,female,33313,78.01,80.01,75.06,77.535,Fort Lauderdale
381,1120,female,60623,71.92,74.98,64.45,69.715,Chicago
382,1122,female,38701,69.8,69.8,69.8,69.8,Greenville
383,1125,female,60623,71.92,74.98,64.45,69.715,Chicago
384,1128,female,60623,71.92,74.98,64.45,69.715,Chicago
385,1136,female,98199,62.02,67.24,57.9,62.56999999999999,Seattle
386,1139,female,60623,71.92,74.98,64.45,69.715,Chicago
387,1142,female,29571,64.96,68.27,62.49,65.38,Marion
388,1144,female,44131,58.35,63.3,53.17,58.235,Independence
389,1145,female,60623,71.92,74.98,64.45,69.715,Chicago
390,1147,female,60623,71.92,74.98,64.45,69.715,Chicago
391,1152,female,60623,71.92,74.98,64.45,69.715,Chicago
392,1154,female,33578,75.78,80.04,72.19,76.11500000000001,Riverview
393,1158,female,60623,71.92,74.98,64.45,69.715,Chicago
394,1164,female,29571,64.96,68.27,62.49,65.38,Marion
395,1167,female,15061,57.4,63.19,52.16,57.675,Monaca
396,1173,female,15061,57.4,63.19,52.16,57.675,Monaca
397,1182,female,72834,72.21,74.89,67.05,70.97,Dardanelle
398,1186,female,85037,90.86,94.14,87.28,90.71000000000001,Phoenix
399,1187,female,85037,90.86,94.14,87.28,90.71000000000001,Phoenix
400,1188,female,85037,90.86,94.14,87.28,90.71000000000001,Phoenix
401,1192,female,10805,62.69,69.8,53.2,61.5,New Rochelle
402,1193,female,85037,90.86,94.14,87.28,90.71000000000001,Phoenix
403,1196,female,87031,75.38,78.42,70.88,74.65,Los Lunas
404,1202,female,24701,58.37,59.56,54.5,57.03,Bluefield
405,1203,female,95367,71.67,74.66,67.91,71.285,Riverbank
406,1208,female,85205,90.19,92.95,87.06,90.005,Mesa
407,1209,female,89032,86.77,88.45,85.01,86.73,North Las Vegas
408,1210,female,98036,61.47,66.51,57.24,61.875,Lynnwood
410,1220,female,27534,68.32,69.85,64.49,67.16999999999999,Goldsboro
411,1221,female,27534,68.32,69.85,64.49,67.16999999999999,Goldsboro
412,1224,female,33137,75.47,80.62,73.4,77.01,Miami
413,1226,female,29303,65.8,70.52,61.66,66.09,Spartanburg
