user_id,gender,postal_code,city,temperature
1755,female,64801,Joplin,71.58
1756,female,78109,Converse,81.68
1758,female,78648,Luling,80.55
1764,female,55311,Maple Grove,75.56
1765,female,64801,Joplin,71.58
1774,female,31088,Warner Robins,67.57
1776,female,64801,Joplin,71.58
1784,female,30132,Dallas,66.45
1785,female,80011,Aurora,65.1
1790,female,76112,Fort Worth,77.68
1796,female,34741,Kissimmee,74.8
1798,female,75126,Forney,75.31
1803,female,32204,Jacksonville,77.09
1805,female,75126,Forney,75.31
1810,female,29303,Spartanburg,65.8
1812,female,11706,Bay Shore,62.71
1815,female,19140,Philadelphia,59.79
1816,female,30153,Rockmart,66.45
1817,female,14612,Rochester,50.95
1822,female,30132,Dallas,66.45
1828,female,30132,Dallas,66.45
1836,female,30132,Dallas,66.45
1837,female,30132,Dallas,66.45
1842,female,40228,Louisville,67.12
1844,female,40228,Louisville,67.12
1846,female,93638,Madera,76.66
1848,female,40228,Louisville,67.12
1854,female,54932,Eldorado,66.07
1855,female,40228,Louisville,67.12
1863,female,97222,Portland,68.58
1864,female,40228,Louisville,67.12
1868,female,40503,Lexington,65.89
1869,female,40503,Lexington,65.89
1870,female,23605,Newport News,68.5
1874,female,97222,Portland,68.58
1875,female,46406,Gary,66.54
1880,female,36066,Prattville,69.71
1882,female,46406,Gary,66.54
1889,female,13642,Gouverneur,48.04
1891,female,57701,Rapid City,65.41
1908,female,11751,Islip,62.64
1909,female,11751,Islip,62.64
1914,female,49423,Holland,63.19
1915,female,99508,Anchorage,49.39
1916,female,99508,Anchorage,49.39
1917,female,33594,Valrico,75.24
1920,female,89032,North Las Vegas,86.77
1921,female,99508,Anchorage,49.39
1930,female,48745,Mikado,59.07
1932,female,48745,Mikado,59.07
1937,female,48745,Mikado,59.07
1939,female,28412,Wilmington,68.68
1940,female,87732,Mora,61.52
1942,female,51351,Milford,71.35
1944,female,77074,Houston,80.98
1948,female,48745,Mikado,59.07
1950,female,73801,Woodward,68.76
1952,female,29468,Pineville,65.93
1953,female,48745,Mikado,59.07
1956,female,87732,Mora,61.52
1960,female,57067,Utica,70.12
1963,female,57067,Utica,70.12
1964,female,29468,Pineville,65.93
1965,female,57067,Utica,70.12
1967,female,48507,Flint,63.45
1970,female,48745,Mikado,59.07
1974,female,30241,Lagrange,65.53
1976,female,57067,Utica,70.12
1979,female,57067,Utica,70.12
1980,female,87732,Mora,61.52
1981,female,60188,Carol Stream,69.22
1983,female,93035,Oxnard,70.43
1993,female,60188,Carol Stream,69.22
1997,female,30101,Acworth,67.44
1998,female,76116,Fort Worth,77.45
1999,female,71101,Shreveport,72.7
2001,female,31082,Sandersville,65.12
2002,female,36553,Mc Intosh,70.0
2006,female,93312,Bakersfield,79.12
2010,female,27597,Zebulon,67.37
2013,female,36553,Mc Intosh,70.0
2017,female,49835,Garden,66.02
2024,female,43228,Columbus,64.06
2037,female,43228,Columbus,64.06
2039,female,33556,Odessa,75.52
2046,female,29654,Honea Path,65.1
2048,female,19401,Norristown,58.57
2049,female,43228,Columbus,64.06
2050,female,30132,Dallas,66.45
2052,female,33556,Odessa,75.52
2053,female,19401,Norristown,58.57
2055,female,43228,Columbus,64.06
2056,female,72764,Springdale,69.48
2059,female,93726,Fresno,77.99
2062,female,30132,Dallas,66.45
2069,female,30132,Dallas,66.45
2072,female,72764,Springdale,69.48
2075,female,30132,Dallas,66.45
2078,female,72764,Springdale,69.48
2079,female,43228,Columbus,64.06
2080,female,18109,Allentown,55.02
2081,female,19403,Norristown,57.85
2088,female,96003,Redding,76.51
2090,female,19403,Norristown,57.85
2093,female,19403,Norristown,57.85
2094,female,19403,Norristown,57.85
2097,female,92887,Yorba Linda,72.41
2099,female,96003,Redding,76.51
2102,female,93001,Ventura,69.46
2104,female,29583,Pamplico,66.4
2108,female,29583,Pamplico,66.4
